,SentimentScore,articleTime
0,-0.8074,2020-02-01
1,-0.2263,2020-02-02
2,0.8979,2020-02-03
3,0.0258,2020-02-04
4,0.8519,2020-02-05
5,-0.836,2020-02-06
6,0.1779,2020-02-07
7,-0.9325,2020-02-08
8,-0.9485,2020-02-09
9,-0.9601,2020-02-10
10,-0.9918,2020-02-11
11,-0.8316,2020-02-12
12,-0.9712,2020-02-13
13,-0.9325,2020-02-14
14,-0.7184,2020-02-15
15,-0.7096,2020-02-16
16,-0.9951,2020-02-17
17,-0.9769,2020-02-18
18,-0.984,2020-02-19
19,-0.9876,2020-02-20
20,0.9432,2020-02-21
21,-0.9877,2020-02-22
22,-0.9468,2020-02-23
23,-0.9442,2020-02-24
24,-0.3818,2020-02-25
25,0.0516,2020-02-26
26,-0.9186,2020-02-27
27,0.7096,2020-02-28
28,-0.8074,2020-02-29
29,-0.9633,2020-03-01
30,-0.969,2020-03-02
31,0.7269,2020-03-03
32,0.8625,2020-03-04
33,0.0,2020-03-05
34,-0.9584,2020-03-06
35,0.7003,2020-03-07
36,0.1027,2020-03-08
37,-0.9413,2020-03-09
38,-0.8316,2020-03-10
39,-0.6597,2020-03-11
40,0.4767,2020-03-12
41,0.6808,2020-03-13
42,-0.1027,2020-03-14
43,0.886,2020-03-15
44,0.3182,2020-03-16
45,-0.8225,2020-03-17
46,-0.9878,2020-03-18
47,-0.6808,2020-03-19
48,-0.9349,2020-03-20
49,-0.9652,2020-03-21
50,-0.6808,2020-03-22
51,-0.9565,2020-03-23
52,0.9349,2020-03-24
53,0.4939,2020-03-25
54,-0.9648,2020-03-26
55,0.5859,2020-03-27
56,-0.8271,2020-03-28
57,0.2263,2020-03-29
58,-0.9153,2020-03-30
59,-0.7964,2020-03-31
60,0.6124,2020-04-01
